1 abacus   n. 算盘

2 abbreviate   v. 缩写,使...简略

3 abbreviation   n. 缩写

4 abend   异常结束

5 abnormal   a. 反常的,不正常的,不规则的

6 abort   v. 流产,打胎,堕胎

7 about   a. 准备; ad. 大约; prep. 关于

8 aboveboard   ad. 光明正大地,率直地; a. 光明正大的,率直的

9 abrasive   n. 研磨剂; a. 磨平的

10 abridgement   节略,缩写

11 abruption   中断,分离

12 absence   a. 不在,缺席; n. 缺乏,缺少,缺席





15 acceleration   n. 加速,促进,加速度

16 accelerator   n. 加速者,加速器,油门

17 accent   n. 重音,口音; v. 重读,强调



19 acceptance   n. 接受,容纳,承诺,验证



21 accessible   a. 可得到的,易接近的,可进入的

22 accessory   a. 附属的(副的,辅助的); n. 附件

23 accidentally   ad. 偶然地,意外地

24 accommodate   v. 使适应,调节,和解



26 accumulate   v. 积聚,堆积

27 accumulator   累加器

28 accuracy   n. 准确(性),精确度

29 accurately   a. 准确地; ad. 精确地,准确地

30 achieve   v. 完成,达到,实现

31 acknowledge   v. 承认,答谢,告知收到

32 acoustic   a. 美声的，听觉的,音感教育,音响学的

33 acoustics   n. 音响学,音响效果,声学

34 acquire   v. 获得,取得,学到

35 acronym   n. 缩写字,字头语

36 across   ad. 横过; prep. 穿过,横过



38 activate   v. 刺激,使...活动,创设

39 activated   激活的

40 activation   n. 激活


42 activity   n. 活动

43 actual   a. 实际的,真实的

44 actuator   执行器

45 adaptability   n. 适应性



47 adaptive   a. 适合的,适应的,能适应的



49 addend   加数

50 addition   n. 增加,附加物,加,加法

51 additional   a. 附加的,另外的

52 additionally   ad. 另外(加之,又)

53 additive   n. 附加物(加法); a. 加添的

54 add-on  追加

55 address   n. 住址; n. 致词,讲话; vt. 发表演说，写地址，（图书、文章等）讨论（某主题）

56 addressable   可寻址的

57 addressee   被访地址

58 addressing   寻址,访问

59 adequate   a. 足够的,充足的,适当的,能胜任的

60 adjacency   邻近,邻接

61 adjacent   a. 毗连的,邻近的,接近的

62 adjust   v. 调整,使...适于

63 adjustment   n. 调整

64 administration   n. 行政,管理,中央政府

65 administrative   a. 行政的,管理的

66 administrator   n. 管理人,行政官

67 adobe   n. 泥砖,土坯; 美国Adobe公司

68 advance   n. 前进,进步,预支; v. 前进,增加,上涨

69 advanced   a. 高级的,先进的

70 affect   v. 影响,作用,感动

71 affected   vbl. 影响



73 agent   n. 代理人,代理商,特工人员

74 aggregate   n. 合计,总计,集合体; a. 合计的,集合的,聚合的; v. 聚集,集合,合计

